pop,score,contains_图像特征,contains_技术特征,具体条件组合,条件数目,胜率,单笔收益,信号次数,次数_eval,胜率_eval,收益_eval
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False)",1.0285285714285712,False,True,CLOSE_aboveMA200+神奇九转_高9,2.0,0.7380952380952381,0.290433333333333,42.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, True, False, False, False)",1.0278111111111106,False,True,CLOSE_aboveMA5+CLOSE_aboveMA200+神奇九转_高9,3.0,0.7222222222222222,0.3055888888888884,36.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, True, False, False, False)",1.0278111111111106,False,True,CLOSE_aboveMA5+CLOSE_aboveMA40+CLOSE_aboveMA200+神奇九转_高9,4.0,0.7222222222222222,0.3055888888888884,36.0,,,
"(False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False)",1.0271645161290315,True,True,检测到低点后当前点高于最低点+CLOSE_aboveMA5+CLOSE_aboveMA200,3.0,0.7419354838709677,0.2852290322580637,31.0,,,
"(False, False, False, False, False, False, True, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.9484789473684205,True,True,检测到低点后当前点被前高支撑+检测到低点后和前最低相隔>=3K线+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,4.0,0.6842105263157895,0.26426842105263104,38.0,,,
"(False, False, False, False, False, True, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.9484789473684205,True,True,检测到低点后当前点高于最低点+检测到低点后当前点被前高支撑+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,4.0,0.6842105263157895,0.26426842105263104,38.0,,,
"(True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False)",0.9410071428571433,True,True,近60bar最大下行超1+CLOSE_aboveMA10+CLOSE_aboveMA200,3.0,0.6964285714285714,0.2445785714285719,56.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.9382217391304346,True,True,检测到低点后和前最低相隔>=3K线+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,3.0,0.6956521739130435,0.24256956521739118,46.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.9382217391304346,True,True,检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,2.0,0.6956521739130435,0.24256956521739118,46.0,,,
"(True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, False, False)",0.9222591836734698,True,True,近60bar最大下行超1+CLOSE_aboveMA5+CLOSE_aboveMA10+CLOSE_aboveMA200,4.0,0.6938775510204082,0.22838163265306166,49.0,,,
"(True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False)",0.9075088888888889,True,True,近60bar最大下行超1+close_RSI3<20+CLOSE_aboveMA200,3.0,0.6888888888888889,0.2186200000000001,45.0,,,
"(False, False, False, False, False, True, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.9046627906976739,True,True,检测到低点后当前点高于最低点+检测到低点后和前最低相隔>=3K线+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,4.0,0.6744186046511628,0.23024418604651115,43.0,,,
"(False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.9046627906976739,True,True,检测到低点后当前点高于最低点+检测到低点后和前最低相隔>=3K线+CLOSE_aboveMA200,3.0,0.6744186046511628,0.23024418604651115,43.0,,,
"(False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.9046627906976739,True,True,检测到低点后当前点高于最低点+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,3.0,0.6744186046511628,0.23024418604651115,43.0,,,
"(False, False, False, False, False, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8938812500000002,True,True,检测到低点后除去最低后还有相近低点+检测到低点后除去最低后还有2上相近低点+检测到低点后和前最低相隔>=3K线+CLOSE_aboveMA200,4.0,0.6875,0.20638125000000018,32.0,,,
"(False, False, False, False, False, False, False, False, True, True, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8938812500000002,True,True,检测到低点后除去最低后还有相近低点+检测到低点后除去最低后还有2上相近低点+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,4.0,0.6875,0.20638125000000018,32.0,,,
"(False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8938812500000002,True,True,检测到低点后除去最低后还有2上相近低点+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,3.0,0.6875,0.20638125000000018,32.0,,,
"(False, False, False, False, False, False, True, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8901322580645156,True,True,检测到低点后当前点被前高支撑+检测到低点后除去最低后还有相近低点+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,4.0,0.6774193548387096,0.2127129032258059,31.0,,,
"(False, False, False, False, False, False, True, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8901322580645156,True,True,检测到低点后当前点被前高支撑+检测到低点后除去最低后还有相近低点+检测到低点后和前最低相隔>=3K线+CLOSE_aboveMA200,4.0,0.6774193548387096,0.2127129032258059,31.0,,,
"(False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.890002564102564,True,True,检测到低点后除去最低后还有相近低点+检测到低点后和前最低相隔>=3K线+CLOSE_aboveMA200,3.0,0.6923076923076923,0.19769487179487172,39.0,,,
"(False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8728930232558134,True,True,检测到低点后当前点被前高支撑+CLOSE_aboveMA200,2.0,0.6511627906976745,0.22173023255813898,43.0,,,
"(False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8728930232558134,True,True,检测到低点后当前点高于最低点+检测到低点后当前点被前高支撑+CLOSE_aboveMA200,3.0,0.6511627906976745,0.22173023255813898,43.0,,,
"(False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False)",0.8692696832579185,True,True,低点抬高+CLOSE_aboveMA40+CLOSE_aboveMA200,3.0,0.6334841628959276,0.23578552036199094,221.0,,,
"(False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8584355555555554,True,True,检测到低点后除去最低后还有相近低点+CLOSE_aboveMA200,2.0,0.6666666666666666,0.19176888888888882,45.0,,,
"(False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8558868421052633,True,True,检测到低点后除去最低后还有相近低点+检测到低点后除去最低后还有2上相近低点+CLOSE_aboveMA200,3.0,0.6578947368421053,0.19799210526315802,38.0,,,
"(False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8558868421052633,True,True,检测到低点后除去最低后还有2上相近低点+CLOSE_aboveMA200,2.0,0.6578947368421053,0.19799210526315802,38.0,,,
"(True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False)",0.8533000000000004,True,False,近60bar最大下行超1+检测到低点后和前最低点靠近,2.0,0.65625,0.1970500000000004,32.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, False)",0.8487971428571428,False,True,CLOSE_aboveMA10+CLOSE_aboveMA40+神奇九转_高9,3.0,0.6714285714285714,0.1773685714285715,70.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, False, False)",0.8454600000000003,False,True,CLOSE_aboveMA5+CLOSE_aboveMA10+CLOSE_aboveMA200,3.0,0.6488888888888888,0.19657111111111142,225.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, False, False, False, False)",0.8442784615384618,False,True,CLOSE_aboveMA5+CLOSE_aboveMA10+CLOSE_aboveMA40+CLOSE_aboveMA200,4.0,0.6410256410256411,0.20325282051282065,195.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False)",0.8435134328358211,False,True,CLOSE_aboveMA10+CLOSE_aboveMA200,2.0,0.6492537313432836,0.19425970149253763,268.0,,,
"(False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8415145833333328,True,True,检测到低点后当前点高于最低点+CLOSE_aboveMA200,2.0,0.6458333333333334,0.1956812499999995,48.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False)",0.8362732394366197,False,True,CLOSE_aboveMA40+神奇九转_高9,2.0,0.6619718309859155,0.17430140845070421,71.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False)",0.8177949416342412,False,True,CLOSE_aboveMA5+CLOSE_aboveMA200,2.0,0.6342412451361867,0.18355369649805442,257.0,,,
"(True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8132415730337077,True,True,近60bar最大下行超1+CLOSE_aboveMA200,2.0,0.6460674157303371,0.16717415730337065,178.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, True, False, False, False, False)",0.8130029850746275,False,True,close_RSI2>80+CLOSE_aboveMA10+CLOSE_aboveMA200,3.0,0.6343283582089553,0.17867462686567223,134.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False)",0.8100070175438596,False,True,close_RSI3<20+CLOSE_aboveMA200,2.0,0.631578947368421,0.1784280701754386,57.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8097500000000005,False,True,close_RSI2>80+CLOSE_aboveMA200,2.0,0.6323529411764706,0.17739705882352996,136.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False)",0.8094468085106388,True,True,检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA10,2.0,0.6170212765957447,0.19242553191489414,47.0,,,
"(False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False)",0.8082703296703299,True,True,低点抬高+CLOSE_aboveMA10+CLOSE_aboveMA200,3.0,0.6208791208791209,0.18739120879120894,182.0,,,
"(False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False)",0.8039074999999982,True,False,上涨0.2+检测到低点后和前最低相隔>=3K线,2.0,0.575,0.22890749999999827,40.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.9382217391304346,True,True,检测到低点后和前最低相隔>=3K线+CLOSE_aboveMA200,2.0,0.6956521739130435,0.24256956521739118,46.0,,,
"(True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, True, False, False, False, False)",0.8876818181818182,True,True,近60bar最大下行超1+close_RSI2<20+close_RSI3<20+CLOSE_aboveMA200,4.0,0.6818181818181818,0.20586363636363653,44.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, True, False, False, False, False)",0.8097500000000005,False,True,close_RSI2>80+CLOSE_aboveMA5+CLOSE_aboveMA200,3.0,0.6323529411764706,0.17739705882352996,136.0,,,
"(False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8079527777777772,True,True,检测到低点后当前点被前高支撑+检测到低点后除去最低后还有相近低点+CLOSE_aboveMA200,3.0,0.6388888888888888,0.16906388888888835,36.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False)",0.8042398026315789,False,True,CLOSE_aboveMA40+CLOSE_aboveMA200,2.0,0.6118421052631579,0.19239769736842105,304.0,,,
"(False, False, False, False, False, False, False, False, True, False, False, False, True, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.890002564102564,True,True,检测到低点后除去最低后还有相近低点+检测到低点后和前最低相隔>=3K线+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,4.0,0.6923076923076923,0.19769487179487172,39.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False)",0.8094468085106388,True,True,检测到低点后和前最低相隔>=3K线+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA10,3.0,0.6170212765957447,0.19242553191489414,47.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False)",0.867018103448276,False,True,CLOSE_aboveMA10+CLOSE_aboveMA40+CLOSE_aboveMA200,3.0,0.6551724137931034,0.21184568965517261,232.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False)",1.0245073170731704,False,True,CLOSE_aboveMA40+CLOSE_aboveMA200+神奇九转_高9,3.0,0.7317073170731707,0.2927999999999997,41.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, False, False, False)",1.0285285714285712,False,True,CLOSE_aboveMA10+CLOSE_aboveMA200+神奇九转_高9,3.0,0.7380952380952381,0.290433333333333,42.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, False, False, False)",1.0245073170731704,False,True,CLOSE_aboveMA10+CLOSE_aboveMA40+CLOSE_aboveMA200+神奇九转_高9,4.0,0.7317073170731707,0.2927999999999997,41.0,,,
"(False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.9484789473684204,True,True,检测到低点后当前点被前高支撑+检测到低点后和前最低相隔>=3K线+CLOSE_aboveMA200,3.0,0.6842105263157895,0.264268421052631,38.0,,,
"(False, False, False, False, False, False, False, False, False, True, False, False, True, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8938812500000002,True,True,检测到低点后除去最低后还有2上相近低点+检测到低点后和前最低相隔>=3K线+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,4.0,0.6875,0.2063812500000001,32.0,,,
"(False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8938812500000002,True,True,检测到低点后除去最低后还有2上相近低点+检测到低点后和前最低相隔>=3K线+CLOSE_aboveMA200,3.0,0.6875,0.2063812500000001,32.0,,,
"(False, False, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.890002564102564,True,True,检测到低点后除去最低后还有相近低点+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,3.0,0.6923076923076923,0.1976948717948717,39.0,,,
"(False, False, True, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False)",0.8898810810810796,True,False,上涨0.2+检测到低点后和前最低相隔>=3K线+检测到低点后和前最低相隔>=5K线,3.0,0.6216216216216216,0.268259459459458,37.0,,,
"(False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False)",0.8898810810810796,True,False,上涨0.2+检测到低点后和前最低相隔>=5K线,2.0,0.6216216216216216,0.268259459459458,37.0,,,
"(False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False)",0.8812075581395349,True,True,低点抬高+CLOSE_aboveMA10+CLOSE_aboveMA40+CLOSE_aboveMA200,4.0,0.6569767441860465,0.2242308139534884,172.0,,,
"(False, False, False, False, False, True, False, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False)",0.8458999999999994,True,True,检测到低点后当前点高于最低点+检测到低点后除去最低后还有相近低点+检测到低点后和前最低相隔>=5K线+CLOSE_aboveMA200,4.0,0.6666666666666666,0.1792333333333328,36.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, True, False, True, False, False, False, False)",0.8130029850746275,False,True,close_RSI2>80+CLOSE_aboveMA5+CLOSE_aboveMA10+CLOSE_aboveMA200,4.0,0.6343283582089553,0.1786746268656722,134.0,,,
"(False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, True, False, False, False)",1.0278111111111106,False,True,CLOSE_aboveMA5+CLOSE_aboveMA10+CLOSE_aboveMA200+神奇九转_高9,4.0,0.7222222222222222,0.3055888888888884,36.0,,,
"(True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False)",0.9406999999999996,True,True,近60bar最大下行超1+CLOSE_aboveMA5+CLOSE_aboveMA200,3.0,0.7101449275362319,0.2305550724637676,69.0,,,
